Фраза,кол-во фраз в группе,"""!"" [YW]",Категория
сертификат распределителя,2111,5,услуга + продукт
сертификат на ступицу,2111,5,услуга + продукт
сертификат черепицы,2111,5,услуга + продукт
сертификация чипсов,2111,5,услуга + продукт
сертификат на электрофорез,2111,5,услуга + продукт
сертификат на якорь,2111,5,услуга + продукт
декларация замок висячий,2111,5,услуга + продукт
сертификат коробки передачи,2111,5,услуга + продукт
сертификат на масло касторовое,2111,5,услуга + продукт
сертификация машин литейных,2111,5,услуга + продукт
декларация счётчика газ,2111,5,услуга + продукт
декларация для час,2111,5,услуга + продукт
сертификат медицинской кровати,2111,5,услуга + продукт
сертификат на сушилку для белья,2111,5,услуга + продукт
декларация лапша,2111,5,услуга + продукт
декларация секундомеры,2111,5,услуга + продукт
сертификат скипидар живичный,2111,5,услуга + продукт
декларация тахограф,2111,5,услуга + продукт
декларация щитового оборудования,2111,5,услуга + продукт
сертификат на собранную,2111,5,услуга + продукт
сертификат на собранных,2111,5,услуга + продукт
декларация лосьона,2111,5,услуга + продукт
сертификат агар агар,2111,5,услуга + продукт
сертификат кларнеты,2111,5,услуга + продукт
сертификация нафталин,2111,5,услуга + продукт
декларация охлажденные,2111,5,услуга + продукт
декларация насекомые,2111,5,услуга + продукт
декларация грузовые суда,2111,5,услуга + продукт
декларация хлорбензол,2111,5,услуга + продукт
декларация летнее,2111,5,услуга + продукт
декларация керамическую плитку,2111,4,услуга + продукт
декларация водка,2111,4,услуга + продукт
сертификат на гидроцилиндр,2111,4,услуга + продукт
сертификат виндсёрфинга,2111,2,услуга + продукт
сертификат на корову,2111,2,услуга + продукт
сертификация китайская,2111,2,услуга + продукт
сертификация контакты,2111,2,услуга + продукт
сертификация wildberries,2111,2,услуга + продукт
сертификация гамма,2111,2,услуга + продукт
сертификат на нивелир,2111,1,услуга + продукт
сертификация дезодорантов,2111,1,услуга + продукт
сертификация душа,2111,1,услуга + продукт
сертификация кружево,2111,1,услуга + продукт
сертификат на тоник,2111,1,услуга + продукт
